COMUNA;TOTAL INCENDIOS 2019;TOTAL INCENDIOS 2018;TOTAL INCENDIOS 2017;TOTAL INCENDIOS 2016
ARICA;4;4;5;1
CAMARONES;2;2;1;
PUTRE;2;2;;
GENERAL LAGOS;0;;;
IQUIQUE;0;;;
ALTO HOSPICIO;0;;;
POZO ALMONTE;1;1;1;
CAMINA;0;;;
COLCHANE;0;;;
HUARA;6;;;
PICA;0;1;;
ANTOFAGASTA;0;;;
MEJILLONES;0;;;
SIERRA GORDA;0;;;
TALTAL;0;;;
CALAMA;8;;;
OLLAGUE;0;;;
SAN PEDRO DE ATACAMA;3;;;
TOCOPILLA;0;;;
MARIA ELENA;0;;;
COPIAPO;1;;3;
CALDERA;0;;;
TIERRA AMARILLA;0;;;
CHANARAL;0;;;
DIEGO DE ALMAGRO;0;;;
VALLENAR;24;18;13;10
ALTO DEL CARMEN;2;3;1;1
FREIRINA;5;8;2;1
HUASCO;0;;1;2
ANDACOLLO;0;;;
COQUIMBO;15;6;18;
LA HIGUERA;0;;;
LA SERENA;15;10;9;29
PAIHUANO;0;1;2;3
VICUNA;5;5;3;2
COMBARBALA;0;1;;
MONTE PATRIA;3;5;3;1
OVALLE;36;44;51;50
PUNITAQUI;1;;2;
RIO HURTADO;0;;;
CANELA;4;;3;1
ILLAPEL;2;3;4;1
LOS VILOS;1;9;9;11
MINCHA;0;;;
SALAMANCA;3;2;6;3
CABILDO;0;2;1;3
LA LIGUA;14;29;19;38
PAPUDO;7;13;9;6
PETORCA;2;2;1;2
ZAPALLAR;7;8;6;14
CALLE LARGA;2;3;3;3
LOS ANDES;6;4;2;4
RINCONADA;6;1;2;2
SAN ESTEBAN;6;2;2;1
CATEMU;8;12;8;8
LLAILLAY;10;3;7;8
PANQUEHUE;22;13;2;
PUTAENDO;4;2;1;6
SAN FELIPE;10;18;7;6
SANTA MARIA;0;1;2;
HIJUELAS;25;18;13;9
LA CALERA;18;21;15;4
LA CRUZ;18;10;18;6
NOGALES;28;58;78;37
QUILLOTA;50;44;26;28
CASABLANCA;16;22;15;10
CONCON;15;31;34;44
PUCHUNCAVI;4;39;32;38
QUINTERO;5;14;18;14
VALPARAISO;108;13;5;15
VINA DEL MAR;51;73;90;95
JUAN FERNANDEZ;0;16;8;22
ALGARROBO;9;166;117;135
CARTAGENA;8;72;166;121
EL QUISCO;8;52;46;62
EL TABO;7;;;
SAN ANTONIO;36;11;13;20
SANTO DOMINGO;10;29;79;44
ISLA DE PASCUA;21;6;2;17
LIMACHE;35;7;9;12
OLMUE;7;55;74;71
QUILPUE;34;17;23;24
VILLA ALEMANA;12;18;33;32
RANCAGUA;4;7;5;5
MACHALI;19;19;14;12
GRANEROS;2;2;2;1
CODEGUA;8;5;6;4
MOSTAZAL;4;6;11;7
REQUINOA;6;9;5;8
OLIVAR;0;;;
RENGO;26;24;21;12
QUINTA DE TILCOCO;4;;5;3
MALLOA;13;10;4;2
SAN VICENTE;33;26;26;15
DONIHUE;12;6;6;3
COINCO;17;11;7;3
COLTAUCO;23;31;29;9
PICHIDEGUA;21;16;5;9
PEUMO;2;3;7;2
LAS CABRAS;19;26;23;18
SAN FERNANDO;26;23;18;23
CHIMBARONGO;11;5;7;3
NANCAGUA;1;3;2;1
PLACILLA;0;1;4;2
CHEPICA;3;6;6;3
SANTA CRUZ;15;3;12;13
PALMILLA;1;3;;3
LOLOL;15;13;9;4
PUMANQUE;7;8;3;3
PERALILLO;8;3;8;3
PICHILEMU;16;8;9;15
PAREDONES;33;24;5;8
MARCHIHUE;4;10;13;17
LITUECHE;33;23;5;27
LA ESTRELLA;7;6;14;8
NAVIDAD;9;4;5;9
CURICO;73;80;66;20
RAUCO;26;8;6;7
ROMERAL;7;16;11;10
TENO;25;21;32;10
VICHUQUEN;18;34;18;34
LICANTEN;13;6;6;5
HUALANE;39;23;24;9
MOLINA;40;30;26;21
SAGRADA FAMILIA;45;25;24;17
TALCA;105;75;79;43
SAN CLEMENTE;79;58;41;24
PELARCO;9;16;15;3
RIO CLARO;37;27;28;38
PENCAHUE;46;18;14;16
MAULE;65;62;61;34
CUREPTO;52;20;19;23
CONSTITUCION;66;32;26;66
EMPEDRADO;16;8;9;8
SAN RAFAEL;19;15;24;18
LINARES;59;51;46;17
YERBAS BUENAS;24;20;7;9
COLBUN;6;10;12;6
LONGAVI;34;43;33;19
PARRAL;41;40;36;24
RETIRO;30;37;15;13
SAN JAVIER;81;96;72;58
VILLA ALEGRE;17;7;12;3
CAUQUENES;74;63;28;56
CHANCO;8;6;7;11
PELLUHUE;7;4;5;9
BULNES;16;24;80;62
CHILLAN;59;65;8;9
PINTO;10;11;12;5
CHILLAN VIEJO;28;37;33;35
EL CARMEN;7;20;11;20
PEMUCO;19;24;11;24
QUILLON;32;57;54;45
SAN IGNACIO;18;11;6;7
YUNGAY;30;13;5;11
COBQUECURA;10;3;17;29
COELEMU;54;39;15;14
NINHUE;10;11;21;22
PORTEZUELO;5;13;30;44
QUIRIHUE;15;16;34;43
RANQUIL;21;33;4;4
TREGUACO;8;8;10;13
COIHUECO;77;57;7;2
NIQUEN;7;19;22;26
SAN CARLOS;26;45;7;8
SAN FABIAN;10;18;20;15
SAN NICOLAS;20;23;25;31
LOS ANGELES;174;194;134;165
LAJA;43;28;25;38
SAN ROSENDO;13;16;11;7
YUMBEL;55;34;40;45
CABRERO;71;41;42;33
TUCAPEL;43;16;22;31
QUILLECO;62;21;17;25
SANTA BARBARA;11;12;9;11
ALTO BIOBIO;25;18;4;
QUILACO;11;14;11;10
MULCHEN;169;156;102;86
NACIMIENTO;42;35;35;21
NEGRETE;19;20;25;21
ANTUCO;4;3;3;4
CONCEPCION;20;21;23;22
TALCAHUANO;20;26;26;27
HUALPEN;6;11;9;8
PENCO;44;59;56;56
TOME;217;213;150;155
FLORIDA;53;58;21;42
HUALQUI;59;54;45;58
SANTA JUANA;40;35;14;19
LOTA;69;85;37;42
CORONEL;61;57;63;33
SAN PEDRO DE LA PAZ;37;53;24;25
CHIGUAYANTE;3;10;6;14
LEBU;280;210;117;77
CURANILAHUE;299;123;220;113
ARAUCO;145;61;37;52
LOS ALAMOS;219;116;157;103
CANETE;248;177;84;63
CONTULMO;71;34;39;28
TIRUA;157;123;76;48
ANGOL;95;88;46;52
PUREN;21;35;16;12
LOS SAUCES;61;39;36;37
RENAICO;19;11;4;6
COLLIPULLI;393;250;226;137
ERCILLA;92;116;64;53
TRAIGUEN;67;68;29;22
LUMACO;191;93;81;80
VICTORIA;131;93;69;29
CURACAUTIN;6;4;6;4
LONQUIMAY;11;1;5;7
TEMUCO;93;76;62;46
LAUTARO;49;36;19;18
PERQUENCO;9;19;7;3
GALVARINO;185;99;102;86
NUEVA IMPERIAL;53;34;16;18
CARAHUE;69;81;51;32
SAAVEDRA;5;5;;1
VILCUN;15;16;6;3
CHOLCHOL;69;53;33;46
FREIRE;14;22;8;6
CUNCO;7;6;6;6
PITRUFQUEN;22;17;16;3
GORBEA;12;6;2;3
TOLTEN;8;3;1;1
LONCOCHE;6;11;17;5
VILLARRICA;17;7;11;3
PUCON;4;2;2;2
CURARREHUE;2;2;1;
MELIPEUCO;4;5;1;6
TEODORO SCHMIDT;2;5;4;
PADRE LAS CASAS;70;49;22;26
VALDIVIA;20;8;15;8
MARIQUINA;27;21;14;15
LANCO;5;2;2;1
LOS LAGOS;9;17;21;17
CORRAL;6;3;1;6
MAFIL;5;10;1;2
PANGUIPULLI;5;11;1;1
PAILLACO;16;9;11;7
LA UNION;19;33;11;18
FUTRONO;1;;;
RIO BUENO;8;6;6;3
LAGO RANCO;0;3;1;
OSORNO;7;8;4;3
SAN PABLO;5;4;3;3
PUYEHUE;0;1;;1
PUERTO OCTAY;3;1;;
ENTRE LAGOS;0;;;
RIO NEGRO;0;8;3;1
PURRANQUE;1;1;2;
SAN JUAN DE LA COSTA;9;8;12;4
PUERTO MONTT;65;48;51;49
COCHAMO;3;1;1;
CALBUCO;6;4;7;2
MAULLIN;2;1;1;1
LOS MUERMOS;1;1;;
FRESIA;5;5;1;2
FRUTILLAR;0;;1;
LLANQUIHUE;0;1;3;
PUERTO VARAS;7;14;15;2
CASTRO;9;10;18;12
ANCUD;6;8;6;2
QUEMCHI;0;;2;
CURACO DE VELEZ;0;1;;
DALCAHUE;12;9;11;3
QUINCHAO;2;;1;2
PUQUELDON;0;;;
CHONCHI;8;7;7;3
QUEILEN;0;;1;
QUELLON;1;;;
CHAITEN;0;;2;
PALENA;3;1;4;2
FUTALEUFU;0;1;1;
HUALAIHUE;0;;;
COYHAIQUE;9;24;9;16
LAGO VERDE;1;1;;1
AYSEN;0;2;3;2
CISNES;0;2;1;
GUAITECAS;0;;;
CHILE CHICO;5;6;3;1
RIO IBANEZ;2;2;3;1
COCHRANE;2;1;2;
O'HIGGINS;0;1;;
TORTEL;0;1;;
PUNTA ARENAS;2;6;6;14
LAGUNA BLANCA;0;;;
RIO VERDE;0;1;;1
SAN GREGORIO;1;;1;
NATALES;3;5;3;7
TORRES DEL PAINE;1;2;1;2
PORVENIR;0;2;;2
TIMAUKEL;0;3;1;1
PRIMAVERA;0;;;1
NAVARINO;0;1;;
COLINA;4;16;31;17
LAMPA;31;44;65;49
TILTIL;3;7;24;18
PUENTE ALTO;7;24;20;10
PIRQUE;13;11;5;10
SAN JOSE DE MAIPO;5;25;3;13
SAN BERNARDO;10;22;14;11
BUIN;12;6;2;3
PAINE;16;33;14;11
CALERA DE TANGO;1;2;2;1
TALAGANTE;22;14;13;5
PENAFLOR;9;10;13;7
EL MONTE;22;11;6;3
ISLA DE MAIPO;13;8;8;4
PADRE HURTADO;3;2;7;7
MELIPILLA;72;103;47;50
MARIA PINTO;17;22;17;10
SAN PEDRO;83;45;46;35
CURACAVI;27;45;53;34
ALHUE;11;5;21;14
SANTIAGO;1;;;
INDEPENDENCIA;0;;;
RECOLETA;1;4;10;6
ESTACION CENTRAL;0;;;
CONCHALI;0;;;
HUECHURABA;4;6;10;10
QUILICURA;1;4;12;7
RENCA;0;5;12;10
QUINTA NORMAL;0;;;
PUDAHUEL;9;15;18;13
CERRO NAVIA;0;;;
LO PRADO;0;;;
MAIPU;4;6;9;6
PEDRO AGUIRRE CERDA;0;;;
CERRILLOS;0;2;3;
LO ESPEJO;0;;;
LA PINTANA;1;;;
EL BOSQUE;0;;;
LA FLORIDA;1;10;3;6
LA GRANJA;0;1;;
MACUL;0;;;
PENALOLEN;1;5;5;9
LA REINA;2;;1;
PROVIDENCIA;4;;1;2
NUNOA;0;;;
LAS CONDES;1;2;2;5
VITACURA;0;10;;1
LO BARNECHEA;5;7;4;1
